"BusinessEntityID","PhoneNumber","PhoneNumberTypeID","ModifiedDate"
"70","712-555-0119","3","12/8/2008 12:00:00 AM"
"71","156-555-0199","1","2/8/2009 12:00:00 AM"
"72","925-555-0114","3","11/24/2008 12:00:00 AM"
"73","688-555-0192","1","12/12/2008 12:00:00 AM"
"74","199-555-0117","3","12/31/2008 12:00:00 AM"
"75","984-555-0148","3","1/19/2009 12:00:00 AM"
"76","609-555-0153","1","2/5/2009 12:00:00 AM"
"77","224-555-0187","3","2/24/2009 12:00:00 AM"
"78","191-555-0112","3","12/8/2008 12:00:00 AM"
"79","680-555-0118","1","1/17/2010 12:00:00 AM"
"80","166-555-0156","3","1/10/2010 12:00:00 AM"
"81","733-555-0128","3","12/22/2009 12:00:00 AM"
"82","521-555-0113","1","2/24/2010 12:00:00 AM"
"83","425-555-0117","1","2/5/2010 12:00:00 AM"
"84","203-555-0196","3","1/29/2010 12:00:00 AM"
"85","730-555-0117","1","12/4/2009 12:00:00 AM"
"86","208-555-0114","3","12/29/2008 12:00:00 AM"
"87","434-555-0133","1","12/15/2008 12:00:00 AM"
"88","405-555-0171","1","12/11/2009 12:00:00 AM"
"89","413-555-0124","1","1/25/2010 12:00:00 AM"
"90","500-555-0172","1","2/13/2010 12:00:00 AM"
"91","123-555-0167","3","1/5/2010 12:00:00 AM"
"92","295-555-0161","3","3/3/2010 12:00:00 AM"
"93","999-555-0155","3","12/20/2008 12:00:00 AM"
"94","786-555-0144","3","12/5/2008 12:00:00 AM"
"95","679-555-0113","3","12/12/2008 12:00:00 AM"
"96","318-555-0137","1","2/23/2009 12:00:00 AM"
"97","140-555-0132","3","2/3/2009 12:00:00 AM"
"98","990-555-0172","1","2/4/2009 12:00:00 AM"
"99","913-555-0184","1","12/30/2008 12:00:00 AM"
"100","582-555-0178","1","1/5/2009 12:00:00 AM"
"101","180-555-0136","1","1/18/2009 12:00:00 AM"
"102","113-555-0173","1","11/26/2008 12:00:00 AM"
"103","202-555-0187","1","11/29/2009 12:00:00 AM"
"104","283-555-0185","3","12/18/2009 12:00:00 AM"
"105","555-555-0113","3","12/18/2009 12:00:00 AM"
"106","254-555-0114","3","2/20/2010 12:00:00 AM"
"107","153-555-0166","1","2/1/2010 12:00:00 AM"
"108","794-555-0159","1","12/1/2008 12:00:00 AM"
"109","333-555-0173","1","11/30/2008 12:00:00 AM"
"110","299-555-0113","3","12/7/2008 12:00:00 AM"
"111","932-555-0161","3","12/10/2008 12:00:00 AM"
"112","172-555-0130","1","12/25/2008 12:00:00 AM"
"113","612-555-0171","1","12/18/2008 12:00:00 AM"
"114","637-555-0120","3","1/6/2009 12:00:00 AM"
"115","150-555-0194","1","1/13/2009 12:00:00 AM"
"116","441-555-0195","3","1/24/2009 12:00:00 AM"
"117","559-555-0175","3","2/11/2009 12:00:00 AM"
"118","100-555-0174","3","2/6/2009 12:00:00 AM"
"119","817-555-0186","3","2/18/2009 12:00:00 AM"
"120","785-555-0132","3","2/25/2009 12:00:00 AM"
"121","577-555-0185","3","12/26/2008 12:00:00 AM"
"122","943-555-0196","3","11/30/2008 12:00:00 AM"
"123","937-555-0137","3","11/30/2008 12:00:00 AM"
"124","309-555-0129","3","12/19/2008 12:00:00 AM"
"125","139-555-0120","1","1/13/2009 12:00:00 AM"
"126","927-555-0168","1","2/19/2009 12:00:00 AM"
"127","986-555-0177","1","12/27/2008 12:00:00 AM"
"128","147-555-0160","3","11/27/2008 12:00:00 AM"
"129","901-555-0125","1","12/15/2008 12:00:00 AM"
"130","238-555-0116","3","2/6/2009 12:00:00 AM"
"131","164-555-0114","3","2/8/2009 12:00:00 AM"
"132","508-555-0129","1","2/15/2009 12:00:00 AM"
"133","454-555-0119","3","1/3/2009 12:00:00 AM"
"134","260-555-0119","1","1/7/2009 12:00:00 AM"
"135","115-555-0179","3","11/27/2008 12:00:00 AM"
"136","492-555-0174","1","12/4/2009 12:00:00 AM"
"137","106-555-0120","3","2/16/2009 12:00:00 AM"
"138","587-555-0114","1","1/28/2009 12:00:00 AM"
"139","497-555-0181","1","12/30/2009 12:00:00 AM"
"140","129-555-0199","1","1/15/2010 12:00:00 AM"
"141","590-555-0152","3","1/17/2010 12:00:00 AM"
"142","306-555-0186","1","2/25/2010 12:00:00 AM"
"143","491-555-0183","1","2/6/2010 12:00:00 AM"
"144","727-555-0112","1","1/10/2009 12:00:00 AM"
"145","352-555-0138","1","1/20/2009 12:00:00 AM"
"146","952-555-0178","1","11/30/2008 12:00:00 AM"
"147","896-555-0168","3","12/19/2008 12:00:00 AM"
"148","571-555-0179","3","1/7/2009 12:00:00 AM"
"149","118-555-0110","1","1/24/2009 12:00:00 AM"
"150","296-555-0121","1","2/19/2009 12:00:00 AM"
"151","751-555-0134","1","2/12/2009 12:00:00 AM"
"152","965-555-0155","1","1/25/2009 12:00:00 AM"
"153","319-555-0139","3","12/9/2008 12:00:00 AM"
"154","226-555-0197","3","12/16/2008 12:00:00 AM"
"155","935-555-0116","3","12/28/2008 12:00:00 AM"
"156","200-555-0117","1","1/4/2009 12:00:00 AM"
"157","696-555-0157","3","1/27/2009 12:00:00 AM"
"158","991-555-0184","1","2/28/2009 12:00:00 AM"
"159","110-555-0115","3","2/9/2009 12:00:00 AM"
"160","350-555-0167","1","1/14/2009 12:00:00 AM"
"161","669-555-0150","3","12/8/2008 12:00:00 AM"
"162","777-555-0141","3","12/27/2008 12:00:00 AM"
"163","819-555-0198","3","2/1/2009 12:00:00 AM"
"164","207-555-0192","1","2/27/2009 12:00:00 AM"
"165","200-555-0112","1","1/15/2009 12:00:00 AM"
"166","552-555-0111","3","2/14/2009 12:00:00 AM"
"167","166-555-0162","1","11/25/2008 12:00:00 AM"
"168","609-555-0179","3","11/30/2008 12:00:00 AM"
"169","639-555-0164","1","12/7/2008 12:00:00 AM"
"170","518-555-0199","1","12/14/2008 12:00:00 AM"
"171","373-555-0142","3","12/26/2008 12:00:00 AM"
"172","234-555-0169","1","1/9/2009 12:00:00 AM"
"173","241-555-0191","1","1/14/2009 12:00:00 AM"
"174","533-555-0111","1","1/20/2009 12:00:00 AM"
"175","678-555-0110","3","1/26/2009 12:00:00 AM"
"176","118-555-0177","3","2/7/2009 12:00:00 AM"
"177","517-555-0122","3","2/14/2009 12:00:00 AM"
"178","663-555-0172","1","2/24/2009 12:00:00 AM"
"179","139-555-0131","3","2/26/2009 12:00:00 AM"
"180","809-555-0133","3","2/13/2009 12:00:00 AM"
"181","218-555-0126","3","12/2/2008 12:00:00 AM"
"182","143-555-0173","1","12/21/2008 12:00:00 AM"
"183","119-555-0192","1","1/15/2009 12:00:00 AM"
"184","201-555-0163","1","2/2/2009 12:00:00 AM"
"185","165-555-0113","1","2/21/2009 12:00:00 AM"
"186","810-555-0178","1","2/1/2009 12:00:00 AM"
"187","286-555-0189","3","12/2/2008 12:00:00 AM"
"188","808-555-0172","1","12/20/2008 12:00:00 AM"
"189","540-555-0191","3","1/8/2009 12:00:00 AM"
"190","589-555-0147","1","1/26/2009 12:00:00 AM"
"191","450-555-0152","1","2/19/2009 12:00:00 AM"
"192","142-555-0139","3","2/26/2009 12:00:00 AM"
"193","668-555-0130","3","11/29/2008 12:00:00 AM"
"194","818-555-0192","1","12/5/2008 12:00:00 AM"
"195","714-555-0138","3","12/10/2008 12:00:00 AM"
"196","793-555-0179","1","12/17/2008 12:00:00 AM"
"197","373-555-0137","1","12/24/2008 12:00:00 AM"
"198","845-555-0184","3","12/28/2008 12:00:00 AM"
"199","476-555-0119","1","1/5/2009 12:00:00 AM"
"200","158-555-0191","1","1/10/2009 12:00:00 AM"
"201","110-555-0182","1","1/22/2009 12:00:00 AM"
"202","368-555-0113","3","1/29/2009 12:00:00 AM"
"203","949-555-0174","3","2/17/2009 12:00:00 AM"
"204","310-555-0117","3","3/1/2009 12:00:00 AM"
"205","289-555-0196","1","2/19/2009 12:00:00 AM"
"206","413-555-0136","1","11/25/2008 12:00:00 AM"
"207","332-555-0150","3","11/25/2008 12:00:00 AM"
"208","391-555-0138","1","1/1/2009 12:00:00 AM"
"209","446-555-0118","3","1/20/2009 12:00:00 AM"
"210","319-555-0126","1","2/13/2009 12:00:00 AM"
"211","869-555-0125","3","2/21/2009 12:00:00 AM"
"212","164-555-0164","3","12/2/2008 12:00:00 AM"
"213","325-555-0137","3","2/16/2010 12:00:00 AM"
"214","181-555-0124","1","1/26/2009 12:00:00 AM"
"215","147-555-0179","1","1/8/2009 12:00:00 AM"
"216","420-555-0173","1","12/21/2008 12:00:00 AM"
"217","204-555-0115","1","12/28/2008 12:00:00 AM"
"218","910-555-0116","3","12/9/2008 12:00:00 AM"
"219","205-555-0132","1","1/15/2009 12:00:00 AM"
"220","746-555-0164","3","2/2/2009 12:00:00 AM"
"221","575-555-0126","1","2/27/2009 12:00:00 AM"
"222","992-555-0194","1","12/5/2008 12:00:00 AM"
"223","500-555-0159","1","1/19/2009 12:00:00 AM"
"224","148-555-0145","1","12/31/2008 12:00:00 AM"
"225","438-555-0172","3","2/6/2009 12:00:00 AM"
"226","313-555-0196","1","2/24/2009 12:00:00 AM"
"227","110-555-0112","1","11/25/2009 12:00:00 AM"
"228","846-555-0157","1","12/7/2008 12:00:00 AM"
"229","295-555-0161","1","2/9/2010 12:00:00 AM"
"230","539-555-0149","3","2/26/2010 12:00:00 AM"
"231","228-555-0159","1","2/28/2010 12:00:00 AM"
"232","720-555-0158","3","1/20/2010 12:00:00 AM"
"233","583-555-0182","3","12/14/2009 12:00:00 AM"
"234","615-555-0110","1","1/24/2009 12:00:00 AM"
"235","523-555-0175","1","11/29/2008 12:00:00 AM"
"236","955-555-0131","3","2/18/2009 12:00:00 AM"
"237","806-555-0136","3","1/30/2009 12:00:00 AM"
"238","153-555-0186","3","12/25/2008 12:00:00 AM"
"239","522-555-0147","3","12/18/2008 12:00:00 AM"
"240","778-555-0141","3","12/6/2008 12:00:00 AM"
"241","646-555-0185","3","1/23/2009 12:00:00 AM"
"242","602-555-0194","1","12/11/2008 12:00:00 AM"
"243","920-555-0177","1","12/30/2008 12:00:00 AM"
"244","935-555-0199","3","1/17/2009 12:00:00 AM"
"245","822-555-0145","1","2/11/2009 12:00:00 AM"
"246","117-555-0185","3","2/4/2009 12:00:00 AM"
"247","393-555-0186","3","2/22/2009 12:00:00 AM"
"248","927-555-0150","3","3/1/2009 12:00:00 AM"
"249","248-555-0134","3","12/18/2008 12:00:00 AM"
"250","210-555-0193","3","2/18/2011 12:00:00 AM"
"251","309-555-0170","3","2/3/2009 12:00:00 AM"
"252","848-555-0163","1","2/21/2009 12:00:00 AM"
"253","916-555-0165","1","12/10/2009 12:00:00 AM"
"254","520-555-0177","3","12/28/2009 12:00:00 AM"
"255","230-555-0144","1","1/4/2010 12:00:00 AM"
"256","163-555-0147","1","1/16/2010 12:00:00 AM"
"257","265-555-0195","3","1/20/2010 12:00:00 AM"
"258","842-555-0158","3","1/24/2010 12:00:00 AM"
"259","151-555-0113","3","3/2/2010 12:00:00 AM"
"260","125-555-0196","1","11/29/2010 12:00:00 AM"
"261","370-555-0163","3","12/18/2010 12:00:00 AM"
"262","477-555-0132","3","1/5/2009 12:00:00 AM"
"263","685-555-0120","3","12/4/2008 12:00:00 AM"
"264","594-555-0110","3","1/28/2009 12:00:00 AM"
"265","656-555-0119","3","11/27/2008 12:00:00 AM"
"266","310-555-0133","3","2/16/2009 12:00:00 AM"
"267","654-555-0177","3","2/9/2009 12:00:00 AM"
"268","182-555-0134","3","1/27/2009 12:00:00 AM"
"269","166-555-0159","3","1/4/2009 12:00:00 AM"
"270","785-555-0110","1","1/10/2009 12:00:00 AM"
"271","653-555-0144","3","1/15/2009 12:00:00 AM"
"272","623-555-0155","3","12/16/2008 12:00:00 AM"
"273","716-555-0127","1","2/8/2011 12:00:00 AM"
"274","238-555-0197","1","12/28/2010 12:00:00 AM"
"275","257-555-0154","1","5/24/2011 12:00:00 AM"
"276","883-555-0116","3","5/24/2011 12:00:00 AM"
"277","517-555-0117","3","5/24/2011 12:00:00 AM"
"278","922-555-0165","3","5/24/2011 12:00:00 AM"
"279","664-555-0112","3","5/24/2011 12:00:00 AM"
"280","340-555-0193","1","5/24/2011 12:00:00 AM"
"281","330-555-0120","1","5/24/2011 12:00:00 AM"
"282","185-555-0169","3","5/24/2011 12:00:00 AM"
"283","740-555-0182","3","5/24/2011 12:00:00 AM"
"284","615-555-0153","3","9/23/2012 12:00:00 AM"
"285","926-555-0182","3","3/7/2013 12:00:00 AM"
"286","1 (11) 500 555-0190","1","5/23/2013 12:00:00 AM"
"287","775-555-0164","3","4/9/2012 12:00:00 AM"
"288","1 (11) 500 555-0140","1","5/23/2013 12:00:00 AM"
"289","1 (11) 500 555-0145","3","5/23/2012 12:00:00 AM"
"290","1 (11) 500 555-0117","1","5/23/2012 12:00:00 AM"
"291","398-555-0132","1","4/15/2015 4:33:33 PM"
"293","747-555-0171","1","4/15/2015 4:33:33 PM"
"295","334-555-0137","3","4/15/2015 4:33:33 PM"
"297","599-555-0127","1","4/15/2015 4:33:33 PM"
"299","1 (11) 500 555-0132","1","4/15/2015 4:33:33 PM"
"301","991-555-0183","3","4/15/2015 4:33:33 PM"
"303","959-555-0151","1","4/15/2015 4:33:33 PM"
"305","107-555-0138","1","4/15/2015 4:33:33 PM"
"307","158-555-0142","1","4/15/2015 4:33:33 PM"
"309","453-555-0165","1","4/15/2015 4:33:33 PM"
"311","554-555-0110","3","8/1/2011 12:00:00 AM"
"313","1 (11) 500 555-0198","1","6/30/2013 12:00:00 AM"
"315","678-555-0175","1","7/31/2013 12:00:00 AM"
"317","571-555-0128","1","5/31/2011 12:00:00 AM"
"319","440-555-0166","1","8/1/2011 12:00:00 AM"
"321","1 (11) 500 555-0150","1","7/31/2012 12:00:00 AM"
"323","727-555-0115","3","7/31/2012 12:00:00 AM"
"325","197-555-0143","3","5/30/2012 12:00:00 AM"
"327","492-555-0189","1","7/31/2013 12:00:00 AM"
"329","331-555-0162","1","5/30/2013 12:00:00 AM"
"331","968-555-0153","3","6/30/2012 12:00:00 AM"
"333","845-555-0187","1","8/1/2011 12:00:00 AM"
"335","115-555-0175","3","3/30/2013 12:00:00 AM"
"337","555-555-0162","3","6/30/2013 12:00:00 AM"
"339","695-555-0111","3","7/1/2011 12:00:00 AM"
"341","447-555-0110","1","10/31/2011 12:00:00 AM"
"343","607-555-0193","1","7/1/2011 12:00:00 AM"
"345","699-555-0155","1","7/1/2011 12:00:00 AM"
"347","855-555-0174","1","7/1/2011 12:00:00 AM"
"349","1 (11) 500 555-0190","1","7/31/2013 12:00:00 AM"
"351","781-555-0199","1","6/30/2012 12:00:00 AM"
"353","178-555-0129","3","7/31/2013 12:00:00 AM"
"355","614-555-0134","3","7/1/2011 12:00:00 AM"
"357","1 (11) 500 555-0181","1","6/30/2013 12:00:00 AM"
"359","327-555-0148","1","6/30/2013 12:00:00 AM"
"361","922-555-0193","1","8/1/2011 12:00:00 AM"
"363","500-555-0134","3","6/30/2013 12:00:00 AM"
"365","717-555-0131","3","5/30/2012 12:00:00 AM"
"367","883-555-0177","1","7/1/2011 12:00:00 AM"
"369","226-555-0146","1","7/1/2011 12:00:00 AM"
"371","149-555-0113","1","7/1/2011 12:00:00 AM"
"373","556-555-0145","1","6/30/2013 12:00:00 AM"
"375","129-555-0110","3","8/1/2011 12:00:00 AM"
"377","1 (11) 500 555-0139","3","6/30/2013 12:00:00 AM"
"379","665-555-0198","3","7/31/2013 12:00:00 AM"
"381","818-555-0171","3","7/31/2012 12:00:00 AM"
"383","1 (11) 500 555-0187","3","7/31/2013 12:00:00 AM"
"385","221-555-0167","1","7/31/2012 12:00:00 AM"
"387","121-555-0157","3","10/31/2011 12:00:00 AM"
"389","234-555-0112","3","8/30/2012 12:00:00 AM"
"391","583-555-0130","3","5/31/2011 12:00:00 AM"
"393","790-555-0112","3","7/31/2013 12:00:00 AM"
"395","780-555-0114","3","8/1/2011 12:00:00 AM"
"397","640-555-0189","1","7/31/2012 12:00:00 AM"
"399","816-555-0118","3","8/1/2011 12:00:00 AM"
"401","134-555-0182","1","5/30/2012 12:00:00 AM"
"403","752-555-0115","3","6/30/2012 12:00:00 AM"
"405","241-555-0112","1","10/30/2012 12:00:00 AM"
"407","1 (11) 500 555-0151","3","7/31/2013 12:00:00 AM"
"409","1 (11) 500 555-0168","3","6/30/2013 12:00:00 AM"
"411","584-555-0192","3","7/1/2011 12:00:00 AM"
"413","726-555-0191","1","6/30/2012 12:00:00 AM"
"415","1 (11) 500 555-0187","1","5/30/2012 12:00:00 AM"
"417","257-555-0119","3","10/1/2011 12:00:00 AM"
"419","1 (11) 500 555-0112","3","6/30/2013 12:00:00 AM"
"421","916-555-0133","1","6/30/2012 12:00:00 AM"
"423","115-555-0170","3","6/30/2012 12:00:00 AM"
"425","1 (11) 500 555-0113","3","6/30/2013 12:00:00 AM"
"427","396-555-0187","1","6/30/2012 12:00:00 AM"
"429","521-555-0195","3","2/28/2013 12:00:00 AM"
"431","1 (11) 500 555-0132","1","7/31/2012 12:00:00 AM"
"433","1 (11) 500 555-0127","3","6/30/2012 12:00:00 AM"
"435","1 (11) 500 555-0140","1","6/30/2013 12:00:00 AM"
"437","277-555-0169","1","7/1/2011 12:00:00 AM"
"439","843-555-0175","1","5/31/2011 12:00:00 AM"
"441","156-555-0126","1","7/31/2013 12:00:00 AM"
"443","608-555-0114","3","7/31/2013 12:00:00 AM"
"445","1 (11) 500 555-0163","3","7/31/2013 12:00:00 AM"
"447","973-555-0112","1","5/31/2011 12:00:00 AM"
"449","789-555-0189","3","7/31/2013 12:00:00 AM"
"451","528-555-0183","1","10/1/2011 12:00:00 AM"
"453","599-555-0160","3","10/1/2011 12:00:00 AM"
"455","1 (11) 500 555-0177","1","6/30/2013 12:00:00 AM"
"457","911-555-0153","1","3/30/2013 12:00:00 AM"
"459","640-555-0198","3","7/1/2011 12:00:00 AM"
"461","813-555-0173","1","5/30/2012 12:00:00 AM"
"463","519-555-0151","3","7/31/2013 12:00:00 AM"
"465","156-555-0111","1","7/1/2011 12:00:00 AM"
"467","144-555-0175","3","5/30/2013 12:00:00 AM"
"469","795-555-0116","3","7/1/2011 12:00:00 AM"
"471","449-555-0176","3","7/31/2012 12:00:00 AM"
"473","384-555-0169","3","6/30/2012 12:00:00 AM"
"475","471-555-0181","1","6/30/2013 12:00:00 AM"
"477","280-555-0124","1","8/1/2011 12:00:00 AM"
"479","609-555-0186","1","7/31/2013 12:00:00 AM"
"481","1 (11) 500 555-0136","1","6/30/2013 12:00:00 AM"
"483","992-555-0111","3","5/31/2011 12:00:00 AM"
"485","176-555-0136","3","5/31/2011 12:00:00 AM"
"487","264-555-0143","3","5/31/2011 12:00:00 AM"
"489","972-555-0163","1","6/30/2013 12:00:00 AM"
"491","357-555-0161","1","7/31/2012 12:00:00 AM"
"493","121-555-0121","3","7/1/2011 12:00:00 AM"
"495","126-555-0172","1","5/31/2011 12:00:00 AM"
"497","763-555-0145","3","7/1/2011 12:00:00 AM"
"499","838-555-0147","1","8/1/2011 12:00:00 AM"
"501","332-555-0142","3","7/31/2013 12:00:00 AM"
"503","688-555-0113","3","7/31/2012 12:00:00 AM"
"505","383-555-0117","3","7/31/2012 12:00:00 AM"
"507","1 (11) 500 555-0122","1","6/30/2013 12:00:00 AM"
"509","371-555-0143","1","7/31/2012 12:00:00 AM"
"511","844-555-0112","3","8/1/2011 12:00:00 AM"
"513","954-555-0145","3","8/30/2013 12:00:00 AM"
"515","229-555-0114","3","7/31/2012 12:00:00 AM"
"517","340-555-0131","3","5/31/2011 12:00:00 AM"
"519","545-555-0183","3","8/1/2011 12:00:00 AM"
"521","962-555-0166","1","7/1/2011 12:00:00 AM"
"523","494-555-0134","3","10/1/2011 12:00:00 AM"
"525","163-555-0155","3","7/31/2012 12:00:00 AM"
"527","162-555-0166","1","10/1/2011 12:00:00 AM"
"529","513-555-0149","3","6/30/2013 12:00:00 AM"
"531","1 (11) 500 555-0184","1","6/30/2013 12:00:00 AM"
"533","1 (11) 500 555-0179","1","5/30/2012 12:00:00 AM"
"535","525-555-0174","3","10/1/2011 12:00:00 AM"
"537","1 (11) 500 555-0146","1","5/30/2013 12:00:00 AM"
"539","689-555-0130","3","6/30/2012 12:00:00 AM"
"541","575-555-0189","3","5/30/2013 12:00:00 AM"
"543","496-555-0150","3","8/1/2011 12:00:00 AM"
"545","658-555-0146","3","6/30/2012 12:00:00 AM"
"547","428-555-0162","3","5/30/2012 12:00:00 AM"
"549","1 (11) 500 555-0122","3","5/30/2013 12:00:00 AM"
"551","644-555-0114","3","5/31/2011 12:00:00 AM"
"553","581-555-0189","3","6/30/2013 12:00:00 AM"
"555","128-555-0148","1","6/30/2012 12:00:00 AM"
"557","383-555-0155","3","5/30/2012 12:00:00 AM"
"559","249-555-0172","3","7/31/2012 12:00:00 AM"
"561","817-555-0114","3","6/30/2012 12:00:00 AM"
"563","1 (11) 500 555-0183","3","5/30/2013 12:00:00 AM"
"565","476-555-0184","1","7/31/2013 12:00:00 AM"
"567","315-555-0166","1","5/30/2012 12:00:00 AM"
"569","148-555-0149","1","5/30/2012 12:00:00 AM"
"571","857-555-0187","3","7/1/2011 12:00:00 AM"
"573","652-555-0132","1","5/31/2011 12:00:00 AM"
"575","710-555-0116","1","7/31/2012 12:00:00 AM"
"577","1 (11) 500 555-0136","3","7/31/2013 12:00:00 AM"
"579","251-555-0172","1","6/30/2013 12:00:00 AM"
"581","1 (11) 500 555-0129","1","6/30/2013 12:00:00 AM"
"583","131-555-0171","1","5/31/2011 12:00:00 AM"
"585","164-555-0147","3","10/1/2011 12:00:00 AM"
"587","1 (11) 500 555-0138","3","7/31/2013 12:00:00 AM"
"589","1 (11) 500 555-0199","1","5/30/2012 12:00:00 AM"
"591","726-555-0155","1","5/31/2011 12:00:00 AM"
"593","1 (11) 500 555-0122","3","9/30/2012 12:00:00 AM"
"595","1 (11) 500 555-0118","3","6/30/2013 12:00:00 AM"
"597","145-555-0152","1","6/30/2012 12:00:00 AM"
"599","827-555-0143","3","7/1/2011 12:00:00 AM"
"601","1 (11) 500 555-0118","1","6/30/2012 12:00:00 AM"
"603","377-555-0158","1","6/30/2012 12:00:00 AM"
"605","1 (11) 500 555-0190","3","5/30/2012 12:00:00 AM"
"607","700-555-0155","1","7/1/2011 12:00:00 AM"
"609","756-555-0117","3","9/30/2012 12:00:00 AM"
"611","635-555-0126","3","8/1/2011 12:00:00 AM"
"613","118-555-0131","3","5/30/2013 12:00:00 AM"
"615","965-555-0112","3","7/1/2011 12:00:00 AM"
"617","990-555-0141","1","7/31/2013 12:00:00 AM"
"619","488-555-0130","3","9/30/2012 12:00:00 AM"
"621","112-555-0191","3","6/30/2012 12:00:00 AM"
"623","1 (11) 500 555-0140","1","7/31/2013 12:00:00 AM"
"625","193-555-0116","1","7/31/2013 12:00:00 AM"
"627","1 (11) 500 555-0120","1","6/30/2012 12:00:00 AM"
"629","716-555-0167","3","5/30/2013 12:00:00 AM"
"631","646-555-0137","3","8/1/2011 12:00:00 AM"
"633","268-555-0184","3","6/30/2012 12:00:00 AM"
"635","1 (11) 500 555-0163","3","5/30/2013 12:00:00 AM"
"637","620-555-0117","1","7/31/2012 12:00:00 AM"
"639","944-555-0148","3","5/30/2012 12:00:00 AM"
"641","279-555-0130","1","8/1/2011 12:00:00 AM"
"643","244-555-0112","1","7/31/2013 12:00:00 AM"
"645","1 (11) 500 555-0191","3","6/30/2012 12:00:00 AM"
"647","180-555-0114","1","8/1/2011 12:00:00 AM"
"649","353-555-0188","3","6/30/2012 12:00:00 AM"
"651","362-555-0162","1","5/30/2013 12:00:00 AM"
