"BusinessEntityID","NationalIDNumber","LoginID","OrganizationNode","OrganizationLevel","JobTitle","BirthDate","MaritalStatus","Gender","HireDate","SalariedFlag","VacationHours","SickLeaveHours","CurrentFlag","rowguid","ModifiedDate"
"13","486228782","adventure-works\janice0","/1/1/5/2/","4","Tool Designer","5/28/1989 12:00:00 AM","M","F","12/23/2010 12:00:00 AM","False","8","24","True","954b91b6-5aa7-48c2-8685-6e11c6e5c49a","6/30/2014 12:00:00 AM"
"14","42487730","adventure-works\michael8","/1/1/6/","3","Senior Design Engineer","6/16/1979 12:00:00 AM","S","M","12/30/2010 12:00:00 AM","True","3","21","True","46286ca4-46dd-4ddb-9128-85b67e98d1a9","6/30/2014 12:00:00 AM"
"15","56920285","adventure-works\sharon0","/1/1/7/","3","Design Engineer","5/2/1961 12:00:00 AM","M","F","1/18/2011 12:00:00 AM","True","4","22","True","54f2fdc0-87c4-4065-a7a8-9ac8ea624235","6/30/2014 12:00:00 AM"
"16","24756624","adventure-works\david0","/2/","1","Marketing Manager","3/19/1975 12:00:00 AM","S","M","12/20/2007 12:00:00 AM","True","40","40","True","e87029aa-2cba-4c03-b948-d83af0313e28","6/30/2014 12:00:00 AM"
"17","253022876","adventure-works\kevin0","/2/1/","2","Marketing Assistant","5/3/1987 12:00:00 AM","S","M","1/26/2007 12:00:00 AM","False","42","41","True","1b480240-95c0-410f-a717-eb29943c8886","6/30/2014 12:00:00 AM"
"18","222969461","adventure-works\john5","/2/2/","2","Marketing Specialist","3/6/1978 12:00:00 AM","S","M","2/7/2011 12:00:00 AM","False","48","44","True","64730415-1f58-4e5b-8fa8-5e4daeba53b4","6/30/2014 12:00:00 AM"
"19","52541318","adventure-works\mary2","/2/3/","2","Marketing Assistant","1/29/1978 12:00:00 AM","S","F","2/14/2011 12:00:00 AM","False","43","41","True","1f6da901-c7f7-48a8-8eef-d81868d72b52","6/30/2014 12:00:00 AM"
"20","323403273","adventure-works\wanida0","/2/4/","2","Marketing Assistant","3/17/1975 12:00:00 AM","M","F","1/7/2011 12:00:00 AM","False","41","40","True","43cca446-da1c-454c-8530-873ad2923e1b","6/30/2014 12:00:00 AM"
"21","243322160","adventure-works\terry0","/2/5/","2","Marketing Specialist","2/4/1986 12:00:00 AM","M","M","3/2/2009 12:00:00 AM","False","44","42","True","ad0d7626-4506-45c4-898f-9d7a0e13aabd","6/30/2014 12:00:00 AM"
"22","95958330","adventure-works\sariya0","/2/6/","2","Marketing Specialist","5/21/1987 12:00:00 AM","S","M","12/12/2008 12:00:00 AM","False","45","42","True","af21f1b7-0691-48ad-b325-b8f2d7b2268a","6/30/2014 12:00:00 AM"
"23","767955365","adventure-works\mary0","/2/7/","2","Marketing Specialist","9/13/1962 12:00:00 AM","M","F","1/12/2009 12:00:00 AM","False","46","43","True","90899830-127e-4876-85ca-7f6e03025281","6/30/2014 12:00:00 AM"
"24","72636981","adventure-works\jill0","/2/8/","2","Marketing Specialist","6/18/1979 12:00:00 AM","M","F","1/18/2009 12:00:00 AM","False","47","43","True","53575c58-fba1-4c1a-b8ff-95e050b44393","6/30/2014 12:00:00 AM"
"25","519899904","adventure-works\james1","/3/","1","Vice President of Production","1/7/1983 12:00:00 AM","S","M","2/3/2009 12:00:00 AM","True","64","52","True","d7314f24-2af1-429c-9bbb-4038f45f3e6c","6/30/2014 12:00:00 AM"
"26","277173473","adventure-works\peter0","/3/1/","2","Production Control Manager","11/3/1982 12:00:00 AM","M","M","12/1/2008 12:00:00 AM","True","43","41","True","69d5d162-e817-45e7-9dec-5d9b8310e7b1","12/26/2014 9:17:08 AM"
"27","446466105","adventure-works\jo0","/3/1/1/","3","Production Supervisor - WC60","10/8/1956 12:00:00 AM","S","F","2/27/2008 12:00:00 AM","False","80","60","True","83ffaac6-b895-481f-b897-14f965d4da47","6/30/2014 12:00:00 AM"
"28","14417807","adventure-works\guy1","/3/1/1/1/","4","Production Technician - WC60","3/13/1988 12:00:00 AM","M","M","6/30/2006 12:00:00 AM","False","21","30","True","aae1d04a-c237-4974-b4d5-935247737718","6/30/2014 12:00:00 AM"
"29","948320468","adventure-works\mark1","/3/1/1/2/","4","Production Technician - WC60","9/25/1979 12:00:00 AM","S","M","1/23/2009 12:00:00 AM","False","19","29","True","cdb2c6df-93e5-4558-91c8-424d5e7c658b","6/30/2014 12:00:00 AM"
"30","410742000","adventure-works\britta0","/3/1/1/3/","4","Production Technician - WC60","9/28/1989 12:00:00 AM","M","F","1/29/2009 12:00:00 AM","False","14","27","True","fc12677f-42f8-4790-ad69-685088ed7e5f","6/30/2014 12:00:00 AM"
"31","750246141","adventure-works\margie0","/3/1/1/4/","4","Production Technician - WC60","5/20/1986 12:00:00 AM","M","F","1/4/2009 12:00:00 AM","False","18","29","True","352d6e2f-655b-49a2-9fec-efd7d8cd0d30","6/30/2014 12:00:00 AM"
"32","330211482","adventure-works\rebecca0","/3/1/1/5/","4","Production Technician - WC60","7/10/1977 12:00:00 AM","M","F","12/29/2008 12:00:00 AM","False","23","31","True","bdadeb5c-a596-4da1-88ba-842c7a0cc10f","6/30/2014 12:00:00 AM"
"33","801758002","adventure-works\annik0","/3/1/1/6/","4","Production Technician - WC60","12/26/1976 12:00:00 AM","M","M","12/17/2008 12:00:00 AM","False","17","28","True","51fde6ac-bd50-467c-90e5-10ca7310455c","6/30/2014 12:00:00 AM"
"34","754372876","adventure-works\suchitra0","/3/1/1/7/","4","Production Technician - WC60","6/10/1987 12:00:00 AM","M","F","2/16/2009 12:00:00 AM","False","15","27","True","6adbd932-0da5-4f5c-af67-8e3a53630896","6/30/2014 12:00:00 AM"
"35","999440576","adventure-works\brandon0","/3/1/1/8/","4","Production Technician - WC60","1/10/1977 12:00:00 AM","M","M","2/8/2009 12:00:00 AM","False","22","31","True","ca5d1935-44e2-4c45-93bb-809e59f56796","6/30/2014 12:00:00 AM"
"36","788456780","adventure-works\jose0","/3/1/1/9/","4","Production Technician - WC60","7/31/1984 12:00:00 AM","M","M","2/10/2009 12:00:00 AM","False","20","30","True","9e912556-88ba-41ee-b946-cb84ab4c1102","6/30/2014 12:00:00 AM"
"37","442121106","adventure-works\chris2","/3/1/1/10/","4","Production Technician - WC60","8/7/1986 12:00:00 AM","S","M","3/7/2009 12:00:00 AM","False","16","28","True","77b384c7-affb-4816-992b-f5b3034ee4ff","6/30/2014 12:00:00 AM"
"38","6298838","adventure-works\kim1","/3/1/1/11/","4","Production Technician - WC60","12/14/1966 12:00:00 AM","M","F","1/16/2010 12:00:00 AM","False","24","32","True","891c27f4-28cc-44bb-bea3-da5ea7fbe957","6/30/2014 12:00:00 AM"
"39","461786517","adventure-works\ed0","/3/1/1/12/","4","Production Technician - WC60","9/11/1971 12:00:00 AM","S","M","2/5/2010 12:00:00 AM","False","25","32","True","8ef22fb3-af37-4b44-8862-d60a7cb09d82","6/30/2014 12:00:00 AM"
"40","309738752","adventure-works\jolynn0","/3/1/2/","3","Production Supervisor - WC60","1/16/1956 12:00:00 AM","S","F","12/26/2007 12:00:00 AM","False","82","61","True","2cc71b96-f421-485e-9832-8723337749bb","6/30/2014 12:00:00 AM"
"41","458159238","adventure-works\bryan0","/3/1/2/1/","4","Production Technician - WC60","8/27/1973 12:00:00 AM","S","M","1/21/2009 12:00:00 AM","False","35","37","True","4652d4e4-6a27-47ed-9f51-c377e293da28","6/30/2014 12:00:00 AM"
"42","339712426","adventure-works\james0","/3/1/2/2/","4","Production Technician - WC60","7/25/1984 12:00:00 AM","M","M","12/27/2008 12:00:00 AM","False","39","39","True","82e52d5a-165b-4c6d-9773-c3a6b6332ecd","6/30/2014 12:00:00 AM"
"43","693325305","adventure-works\nancy0","/3/1/2/3/","4","Production Technician - WC60","11/19/1988 12:00:00 AM","M","F","1/2/2009 12:00:00 AM","False","34","37","True","6b7eb306-9a00-496a-98a9-4e94fe72f77c","6/30/2014 12:00:00 AM"
"44","276751903","adventure-works\simon0","/3/1/2/4/","4","Production Technician - WC60","5/17/1990 12:00:00 AM","S","M","12/8/2008 12:00:00 AM","False","38","39","True","f734d38a-56b5-471e-8ded-a682e958a9b3","6/30/2014 12:00:00 AM"
"45","500412746","adventure-works\thomas0","/3/1/2/5/","4","Production Technician - WC60","1/10/1986 12:00:00 AM","M","M","2/26/2009 12:00:00 AM","False","37","38","True","8ff3af67-32f2-4a08-98c3-a40f842d41a3","6/30/2014 12:00:00 AM"
"46","66073987","adventure-works\eugene1","/3/1/2/6/","4","Production Technician - WC60","2/10/1976 12:00:00 AM","S","M","2/8/2009 12:00:00 AM","False","36","38","True","33543b35-77da-4600-a41b-1eafea0ad643","6/30/2014 12:00:00 AM"
"47","33237992","adventure-works\andrew0","/3/1/3/","3","Production Supervisor - WC10","9/6/1988 12:00:00 AM","S","M","2/22/2009 12:00:00 AM","False","65","52","True","08365b05-c143-4260-a93c-6b69418b1946","6/30/2014 12:00:00 AM"
"48","690627818","adventure-works\ruth0","/3/1/3/1/","4","Production Technician - WC10","6/4/1956 12:00:00 AM","M","F","1/6/2008 12:00:00 AM","False","83","61","True","3e3b6905-209e-442e-b8a8-9a0980241c6a","6/30/2014 12:00:00 AM"
"49","912265825","adventure-works\barry0","/3/1/3/2/","4","Production Technician - WC10","3/26/1956 12:00:00 AM","S","M","1/7/2008 12:00:00 AM","False","88","64","True","756a60ae-378f-43d8-9f93-1e821d1eaf52","6/30/2014 12:00:00 AM"
"50","844973625","adventure-works\sidney0","/3/1/3/3/","4","Production Technician - WC10","8/30/1956 12:00:00 AM","M","M","2/2/2008 12:00:00 AM","False","84","62","True","40d603d9-7f99-48b7-a580-b17cf429bed2","6/30/2014 12:00:00 AM"
"51","132674823","adventure-works\jeffrey0","/3/1/3/4/","4","Production Technician - WC10","7/11/1956 12:00:00 AM","S","M","2/20/2008 12:00:00 AM","False","85","62","True","6e086f41-b81d-4bdc-9f13-0eec488dc43e","6/30/2014 12:00:00 AM"
"52","565090917","adventure-works\doris0","/3/1/3/5/","4","Production Technician - WC10","4/4/1956 12:00:00 AM","M","F","3/10/2008 12:00:00 AM","False","86","63","True","692b8826-03b4-4c3b-82fc-1fc6f1409689","6/30/2014 12:00:00 AM"
"53","9659517","adventure-works\diane0","/3/1/3/6/","4","Production Technician - WC10","3/29/1956 12:00:00 AM","M","F","3/28/2008 12:00:00 AM","False","87","63","True","c334b2d2-0c56-4906-9095-f1d07a98cbec","6/30/2014 12:00:00 AM"
"54","109272464","adventure-works\bonnie0","/3/1/3/7/","4","Production Technician - WC10","9/10/1986 12:00:00 AM","M","F","1/1/2010 12:00:00 AM","False","89","64","True","e950a52a-df61-4fec-9063-545664d65b89","6/30/2014 12:00:00 AM"
"55","233069302","adventure-works\taylor0","/3/1/4/","3","Production Supervisor - WC50","4/1/1956 12:00:00 AM","M","M","2/8/2008 12:00:00 AM","False","79","59","True","28f7ef89-2793-4989-b67d-25046543c1e3","6/30/2014 12:00:00 AM"
"56","652535724","adventure-works\denise0","/3/1/4/1/","4","Production Technician - WC50","7/6/1988 12:00:00 AM","M","F","2/5/2009 12:00:00 AM","False","9","24","True","77878c43-f16e-437d-892f-3cfcc0715a0a","6/30/2014 12:00:00 AM"
"57","10708100","adventure-works\frank1","/3/1/4/2/","4","Production Technician - WC50","7/24/1971 12:00:00 AM","S","M","2/23/2009 12:00:00 AM","False","10","25","True","b395cd84-77ba-4d3c-a49d-d9e8d6cf100b","6/30/2014 12:00:00 AM"
"58","571658797","adventure-works\kendall0","/3/1/4/3/","4","Production Technician - WC50","5/30/1986 12:00:00 AM","M","M","12/5/2008 12:00:00 AM","False","11","25","True","65207627-5521-4a8e-ad3c-b2f1b5226b85","6/30/2014 12:00:00 AM"
"59","843479922","adventure-works\bob0","/3/1/4/4/","4","Production Technician - WC50","8/16/1979 12:00:00 AM","S","M","12/24/2008 12:00:00 AM","False","12","26","True","68616aea-81e5-4940-a7e4-6fba882bccf6","6/30/2014 12:00:00 AM"
"60","827686041","adventure-works\pete0","/3/1/4/5/","4","Production Technician - WC50","2/3/1977 12:00:00 AM","S","M","1/11/2009 12:00:00 AM","False","13","26","True","1f1d813d-3edc-4274-8e9b-4519d71685b6","6/30/2014 12:00:00 AM"
"61","92096924","adventure-works\diane2","/3/1/4/6/","4","Production Technician - WC50","8/9/1989 12:00:00 AM","S","F","1/18/2009 12:00:00 AM","False","8","24","True","721a2921-c415-46de-9111-13f25f428b8b","6/30/2014 12:00:00 AM"
"62","494170342","adventure-works\john0","/3/1/5/","3","Production Supervisor - WC60","8/7/1956 12:00:00 AM","M","M","3/17/2008 12:00:00 AM","False","81","60","True","d4ed1f78-7c28-479b-bfef-a73228ba2aaa","6/30/2014 12:00:00 AM"
"63","414476027","adventure-works\maciej0","/3/1/5/1/","4","Production Technician - WC60","1/30/1955 12:00:00 AM","S","M","1/29/2010 12:00:00 AM","False","30","35","True","3229d93f-6a14-4bac-abc5-a91b9ecfb4d3","6/30/2014 12:00:00 AM"
"64","582347317","adventure-works\michael7","/3/1/5/2/","4","Production Technician - WC60","9/5/1973 12:00:00 AM","S","M","2/23/2010 12:00:00 AM","False","26","33","True","492b24bd-bde9-4371-b96e-ccd72264b91f","6/30/2014 12:00:00 AM"
"65","8066363","adventure-works\randy0","/3/1/5/3/","4","Production Technician - WC60","4/28/1970 12:00:00 AM","M","M","2/23/2010 12:00:00 AM","False","29","34","True","9a08108d-e039-4862-8f93-55f18017ad72","6/30/2014 12:00:00 AM"
"66","834186596","adventure-works\karan0","/3/1/5/4/","4","Production Technician - WC60","3/7/1970 12:00:00 AM","S","M","12/22/2009 12:00:00 AM","False","28","34","True","08b1ba74-dd80-4fda-8327-93268b84977b","6/30/2014 12:00:00 AM"
"67","63179277","adventure-works\jay0","/3/1/5/5/","4","Production Technician - WC60","2/11/1976 12:00:00 AM","S","M","3/5/2009 12:00:00 AM","False","32","36","True","18187809-5294-474f-85a1-d5be6bd518d6","6/30/2014 12:00:00 AM"
"68","537092325","adventure-works\charles0","/3/1/5/6/","4","Production Technician - WC60","9/2/1971 12:00:00 AM","S","M","12/3/2009 12:00:00 AM","False","27","33","True","cdc11292-df74-4fb0-8676-5b2aa4687142","6/30/2014 12:00:00 AM"
"69","752513276","adventure-works\steve0","/3/1/5/7/","4","Production Technician - WC60","4/6/1991 12:00:00 AM","S","M","2/15/2009 12:00:00 AM","False","31","35","True","12f678d7-ead3-4cf4-8518-a19aacf2a6d4","6/30/2014 12:00:00 AM"
"70","36151748","adventure-works\david2","/3/1/5/8/","4","Production Technician - WC60","12/29/1984 12:00:00 AM","M","M","12/15/2008 12:00:00 AM","False","33","36","True","fc617bb8-d2a3-4374-873c-8ef38d80127d","6/30/2014 12:00:00 AM"
"71","578935259","adventure-works\michael3","/3/1/6/","3","Production Supervisor - WC30","1/29/1989 12:00:00 AM","S","M","2/15/2009 12:00:00 AM","False","70","55","True","1ad772d7-7b4a-4a7b-8676-49dd7608cb94","6/30/2014 12:00:00 AM"
"72","443968955","adventure-works\steven0","/3/1/6/1/","4","Production Technician - WC30","5/14/1977 12:00:00 AM","M","M","12/1/2008 12:00:00 AM","False","41","40","True","0a8937c9-68aa-4d48-ba4e-b40493d764aa","6/30/2014 12:00:00 AM"
"73","138280935","adventure-works\carole0","/3/1/6/2/","4","Production Technician - WC30","10/19/1983 12:00:00 AM","M","F","12/19/2008 12:00:00 AM","False","42","41","True","c76a41f1-a390-4ae4-a82a-2a87764c6391","6/30/2014 12:00:00 AM"
"74","420023788","adventure-works\bjorn0","/3/1/6/3/","4","Production Technician - WC30","11/6/1989 12:00:00 AM","S","M","1/7/2009 12:00:00 AM","False","43","41","True","a942e1e0-2d5e-4858-97c0-947020e96860","6/30/2014 12:00:00 AM"
"75","363996959","adventure-works\michiko0","/3/1/6/4/","4","Production Technician - WC30","6/27/1982 12:00:00 AM","S","M","1/26/2009 12:00:00 AM","False","44","42","True","f359f5b6-5e18-4c62-8531-14d951911ce5","6/30/2014 12:00:00 AM"
"76","227319668","adventure-works\carol0","/3/1/6/5/","4","Production Technician - WC30","10/17/1988 12:00:00 AM","M","F","2/12/2009 12:00:00 AM","False","45","42","True","8d0182a3-5b59-4eea-9b3c-c7f05da9a2ce","6/30/2014 12:00:00 AM"
"77","301435199","adventure-works\merav0","/3/1/6/6/","4","Production Technician - WC30","5/13/1983 12:00:00 AM","M","F","3/3/2009 12:00:00 AM","False","46","43","True","2ee7914a-62d3-473b-a0e1-e4e55341ec4e","6/30/2014 12:00:00 AM"
"78","370989364","adventure-works\reuben0","/3/1/7/","3","Production Supervisor - WC40","8/27/1987 12:00:00 AM","M","M","12/15/2008 12:00:00 AM","False","72","56","True","71eee2a6-b9b3-4bf4-8949-01239df7c901","6/30/2014 12:00:00 AM"
"79","697712387","adventure-works\eric1","/3/1/7/1/","4","Production Technician - WC40","12/8/1966 12:00:00 AM","M","M","1/24/2010 12:00:00 AM","False","60","50","True","55f62e38-9457-46c8-a824-e46a3117a935","6/30/2014 12:00:00 AM"
"80","943170460","adventure-works\sandeep0","/3/1/7/2/","4","Production Technician - WC40","12/3/1970 12:00:00 AM","S","M","1/17/2010 12:00:00 AM","False","65","52","True","606c21e2-3ec0-48a6-a9fe-6bc8123ac786","6/30/2014 12:00:00 AM"
"81","413787783","adventure-works\mihail0","/3/1/7/3/","4","Production Technician - WC40","3/9/1971 12:00:00 AM","S","M","12/29/2009 12:00:00 AM","False","64","52","True","03a9ba14-0d5b-4671-b851-2c1721efbf01","6/30/2014 12:00:00 AM"
"82","58791499","adventure-works\jack1","/3/1/7/4/","4","Production Technician - WC40","8/29/1973 12:00:00 AM","S","M","3/3/2010 12:00:00 AM","False","62","51","True","d308d387-f7f3-4b5f-abda-faf5574245cd","6/30/2014 12:00:00 AM"
"83","988315686","adventure-works\patrick1","/3/1/7/5/","4","Production Technician - WC40","12/23/1973 12:00:00 AM","M","M","2/12/2010 12:00:00 AM","False","61","50","True","296c52ae-169f-4292-975d-c508476dcecf","6/30/2014 12:00:00 AM"
"84","947029962","adventure-works\frank3","/3/1/7/6/","4","Production Technician - WC40","3/2/1952 12:00:00 AM","M","M","2/5/2010 12:00:00 AM","False","66","53","True","9af24acc-ea3e-4efe-b5e3-4762c496d57c","6/30/2014 12:00:00 AM"
"85","1662732","adventure-works\brian2","/3/1/7/7/","4","Production Technician - WC40","12/23/1970 12:00:00 AM","S","M","12/11/2009 12:00:00 AM","False","63","51","True","c294f676-caaf-4924-9730-bc81ae408be1","6/30/2014 12:00:00 AM"
"86","769680433","adventure-works\ryan0","/3/1/7/8/","4","Production Technician - WC40","6/13/1972 12:00:00 AM","M","M","1/5/2009 12:00:00 AM","False","59","49","True","10e5bd6f-2b9c-4192-a94d-6a2d50ea1adb","6/30/2014 12:00:00 AM"
"87","7201901","adventure-works\cristian0","/3/1/8/","3","Production Supervisor - WC10","4/11/1984 12:00:00 AM","M","M","12/22/2008 12:00:00 AM","False","67","53","True","5be16416-8570-417d-9e54-047db468b5e9","6/30/2014 12:00:00 AM"
"88","294148271","adventure-works\betsy0","/3/1/8/1/","4","Production Technician - WC10","12/17/1966 12:00:00 AM","S","F","12/18/2009 12:00:00 AM","False","99","69","True","ebcdba1c-6c1d-4d36-90f7-1893755c85e3","6/30/2014 12:00:00 AM"
"89","90888098","adventure-works\patrick0","/3/1/8/2/","4","Production Technician - WC10","9/10/1986 12:00:00 AM","S","M","2/1/2010 12:00:00 AM","False","96","68","True","d5fbe9e6-b8c5-484c-b4b8-48059e0ef267","6/30/2014 12:00:00 AM"
"90","82638150","adventure-works\danielle0","/3/1/8/3/","4","Production Technician - WC10","9/7/1986 12:00:00 AM","S","F","2/20/2010 12:00:00 AM","False","97","68","True","bb886159-1400-4264-b7c9-a3769beb1274","6/30/2014 12:00:00 AM"
"91","390124815","adventure-works\kimberly0","/3/1/8/4/","4","Production Technician - WC10","9/13/1986 12:00:00 AM","S","F","1/12/2010 12:00:00 AM","False","95","67","True","ce256b6c-1eee-43ed-9969-7cac480ff4d7","6/30/2014 12:00:00 AM"
"92","826454897","adventure-works\tom0","/3/1/8/5/","4","Production Technician - WC10","10/1/1986 12:00:00 AM","M","M","3/10/2010 12:00:00 AM","False","98","69","True","b3bf7fc5-2014-48ce-b7bb-76124fa8446c","6/30/2014 12:00:00 AM"
"93","778552911","adventure-works\kok-ho0","/3/1/9/","3","Production Supervisor - WC50","4/28/1980 12:00:00 AM","S","M","12/27/2008 12:00:00 AM","False","78","59","True","57fb2c0f-b105-49f0-967a-88f3d743cb3f","6/30/2014 12:00:00 AM"
"94","718299860","adventure-works\russell0","/3/1/9/1/","4","Production Technician - WC50","11/25/1972 12:00:00 AM","M","M","12/12/2008 12:00:00 AM","False","6","23","True","6b10192f-d570-47c4-82c9-3d979b1efdc1","6/30/2014 12:00:00 AM"
"95","674171828","adventure-works\jim0","/3/1/9/2/","4","Production Technician - WC50","9/8/1986 12:00:00 AM","M","M","12/19/2008 12:00:00 AM","False","1","20","True","6175876e-8fcc-4917-be06-fc358515e6df","6/30/2014 12:00:00 AM"
"96","912141525","adventure-works\elizabeth0","/3/1/9/3/","4","Production Technician - WC50","1/25/1990 12:00:00 AM","M","F","3/2/2009 12:00:00 AM","False","5","22","True","62a9f73f-6443-4f2f-b864-18186614bfb6","6/30/2014 12:00:00 AM"
"97","370581729","adventure-works\mandar0","/3/1/9/4/","4","Production Technician - WC50","3/21/1986 12:00:00 AM","S","M","2/10/2009 12:00:00 AM","False","0","20","True","1f0e068a-48c5-40bf-8190-565150efdadd","6/30/2014 12:00:00 AM"
"98","152085091","adventure-works\sameer0","/3/1/9/5/","4","Production Technician - WC50","6/26/1978 12:00:00 AM","M","M","2/11/2009 12:00:00 AM","False","4","22","True","a703169f-1563-488e-914d-d784fd07f29a","6/30/2014 12:00:00 AM"
"99","431859843","adventure-works\nuan0","/3/1/9/6/","4","Production Technician - WC50","3/29/1979 12:00:00 AM","S","M","1/6/2009 12:00:00 AM","False","2","21","True","a6089357-2f2f-48cc-ab3c-d9b75a3c09d7","6/30/2014 12:00:00 AM"
"100","204035155","adventure-works\lolan0","/3/1/9/7/","4","Production Technician - WC50","1/24/1973 12:00:00 AM","M","M","1/12/2009 12:00:00 AM","False","7","23","True","9b9b768d-7cc1-4dce-87cb-765ab73a6aff","6/30/2014 12:00:00 AM"
"101","153288994","adventure-works\houman0","/3/1/9/8/","4","Production Technician - WC50","8/30/1971 12:00:00 AM","M","M","1/25/2009 12:00:00 AM","False","3","21","True","9ce8b2e8-9944-4ba5-97de-441d8314f161","6/30/2014 12:00:00 AM"
"102","360868122","adventure-works\zheng0","/3/1/10/","3","Production Supervisor - WC10","10/26/1983 12:00:00 AM","S","M","12/3/2008 12:00:00 AM","False","66","53","True","c75f2740-ace3-4ebf-91c5-7ab352e1095f","6/30/2014 12:00:00 AM"
"103","455563743","adventure-works\ebru0","/3/1/10/1/","4","Production Technician - WC10","9/22/1986 12:00:00 AM","S","M","12/6/2009 12:00:00 AM","False","93","66","True","6c25a32b-88b5-4f84-a129-f7f688dfa588","6/30/2014 12:00:00 AM"
"104","717889520","adventure-works\mary1","/3/1/10/2/","4","Production Technician - WC10","9/19/1986 12:00:00 AM","M","F","12/25/2009 12:00:00 AM","False","94","67","True","6dc9f7d0-5664-4e4a-90f5-7ab85ebb02e6","6/30/2014 12:00:00 AM"
"105","801365500","adventure-works\kevin2","/3/1/10/3/","4","Production Technician - WC10","9/19/1986 12:00:00 AM","S","M","12/25/2009 12:00:00 AM","False","90","65","True","8b21e53d-e705-479a-b32e-6e63ac2f4bcd","6/30/2014 12:00:00 AM"
"106","561196580","adventure-works\john4","/3/1/10/4/","4","Production Technician - WC10","9/28/1986 12:00:00 AM","S","M","2/27/2010 12:00:00 AM","False","92","66","True","d4cf23d9-21b6-45e4-827c-22890df0373b","6/30/2014 12:00:00 AM"
"107","393421437","adventure-works\christopher0","/3/1/10/5/","4","Production Technician - WC10","10/1/1986 12:00:00 AM","M","M","2/8/2010 12:00:00 AM","False","91","65","True","f71c6055-557b-4660-86ff-8c0fa14b24e6","6/30/2014 12:00:00 AM"
"108","630184120","adventure-works\jinghao0","/3/1/11/","3","Production Supervisor - WC50","2/5/1989 12:00:00 AM","S","M","12/8/2008 12:00:00 AM","False","77","58","True","2bca07d3-f2ac-4406-904f-e09156f3eb3e","6/30/2014 12:00:00 AM"
"109","113695504","adventure-works\alice0","/3/1/11/1/","4","Production Technician - WC50","1/26/1978 12:00:00 AM","M","F","12/7/2008 12:00:00 AM","False","95","67","True","7e632b21-0d11-4bba-8a68-8cae14c20ae6","6/30/2014 12:00:00 AM"
