"CreditCardID","CardType","CardNumber","ExpMonth","ExpYear","ModifiedDate"
"37","Distinguish","55551349750603","7","2007","3/23/2014 12:00:00 AM"
"38","Distinguish","55555420711099","7","2008","9/24/2013 12:00:00 AM"
"39","Vista","11117546738833","5","2005","9/13/2013 12:00:00 AM"
"40","Distinguish","55555841603354","4","2008","8/25/2013 12:00:00 AM"
"41","Vista","11113757706549","7","2008","3/22/2014 12:00:00 AM"
"42","Distinguish","55555053963314","3","2005","7/1/2013 12:00:00 AM"
"43","SuperiorCard","33332773200339","3","2006","9/3/2013 12:00:00 AM"
"44","ColonialVoice","77779171924785","6","2007","10/10/2013 12:00:00 AM"
"45","Distinguish","55551983685258","4","2006","4/28/2014 12:00:00 AM"
"46","SuperiorCard","33331306076760","12","2005","12/7/2013 12:00:00 AM"
"47","Distinguish","55551566702747","3","2008","6/7/2013 12:00:00 AM"
"48","SuperiorCard","33338676321482","3","2008","5/21/2014 12:00:00 AM"
"49","SuperiorCard","33337796706807","6","2008","7/9/2013 12:00:00 AM"
"50","ColonialVoice","77776755686502","5","2007","6/15/2014 12:00:00 AM"
"51","SuperiorCard","33337051999262","3","2007","3/7/2014 12:00:00 AM"
"52","Vista","11113124378865","3","2008","4/23/2013 12:00:00 AM"
"53","ColonialVoice","77772212684661","5","2006","4/4/2014 12:00:00 AM"
"54","Distinguish","55553252134216","12","2006","9/4/2013 12:00:00 AM"
"55","ColonialVoice","77776585377718","5","2008","7/31/2013 12:00:00 AM"
"56","Distinguish","55551526073305","7","2007","3/16/2014 12:00:00 AM"
"57","ColonialVoice","77775318833306","10","2008","12/23/2013 12:00:00 AM"
"58","Vista","11117610506869","12","2008","2/7/2014 12:00:00 AM"
"59","Vista","11116857559490","9","2006","6/30/2013 12:00:00 AM"
"60","Vista","11111063290504","1","2008","6/14/2012 12:00:00 AM"
"61","Distinguish","55553521953614","4","2008","5/15/2014 12:00:00 AM"
"62","SuperiorCard","33336076362820","1","2005","4/1/2014 12:00:00 AM"
"63","Distinguish","55552834411554","4","2008","12/6/2013 12:00:00 AM"
"64","ColonialVoice","77776280624762","2","2005","10/13/2013 12:00:00 AM"
"65","Distinguish","55556135765472","4","2005","10/13/2013 12:00:00 AM"
"66","ColonialVoice","77774204284216","8","2005","1/29/2010 12:00:00 AM"
"67","SuperiorCard","33335516443528","12","2005","10/27/2013 12:00:00 AM"
"68","SuperiorCard","33337185413753","3","2005","2/6/2013 12:00:00 AM"
"69","ColonialVoice","77773035177913","6","2005","5/17/2012 12:00:00 AM"
"70","Distinguish","55556217280260","3","2008","2/7/2014 12:00:00 AM"
"71","Vista","11116167886495","7","2005","10/13/2013 12:00:00 AM"
"72","Distinguish","55557166092204","7","2005","8/13/2013 12:00:00 AM"
"73","Vista","11111097285749","1","2008","11/23/2013 12:00:00 AM"
"74","Vista","11111875326223","11","2007","6/26/2014 12:00:00 AM"
"75","SuperiorCard","33339024575831","11","2008","9/22/2013 12:00:00 AM"
"76","SuperiorCard","33337723858818","5","2008","5/31/2011 12:00:00 AM"
"77","Distinguish","55552491484622","8","2008","2/24/2009 12:00:00 AM"
"78","SuperiorCard","33335304638114","8","2008","1/25/2014 12:00:00 AM"
"79","Vista","11118018211102","7","2006","6/17/2012 12:00:00 AM"
"80","ColonialVoice","77772340294400","11","2008","11/19/2013 12:00:00 AM"
"81","Distinguish","55557892934839","6","2007","11/17/2012 12:00:00 AM"
"82","Distinguish","55552580794715","11","2006","5/30/2012 12:00:00 AM"
"83","Vista","11118036755505","4","2008","10/29/2013 12:00:00 AM"
"84","Distinguish","55556891733409","1","2006","3/29/2014 12:00:00 AM"
"85","ColonialVoice","77775989712942","4","2006","5/27/2014 12:00:00 AM"
"86","SuperiorCard","33336703497121","1","2006","8/26/2013 12:00:00 AM"
"87","Vista","11115536966870","8","2007","3/3/2012 12:00:00 AM"
"88","Distinguish","55559505872957","1","2006","4/20/2014 12:00:00 AM"
"89","SuperiorCard","33332972701054","4","2007","4/18/2013 12:00:00 AM"
"90","Distinguish","55554129226031","11","2007","7/13/2013 12:00:00 AM"
"91","SuperiorCard","33334379129505","1","2006","7/30/2013 12:00:00 AM"
"92","SuperiorCard","33334394499932","10","2006","2/11/2014 12:00:00 AM"
"93","Vista","11117160559398","2","2005","9/25/2013 12:00:00 AM"
"94","Distinguish","55553576381881","5","2005","3/6/2014 12:00:00 AM"
"95","Distinguish","55551358663947","5","2007","3/6/2014 12:00:00 AM"
"96","SuperiorCard","33337600423179","4","2007","1/17/2014 12:00:00 AM"
"97","ColonialVoice","77778908268190","12","2007","5/2/2014 12:00:00 AM"
"98","SuperiorCard","33334689130342","9","2006","12/6/2011 12:00:00 AM"
"99","Vista","11119575282326","12","2006","8/28/2013 12:00:00 AM"
"100","ColonialVoice","77775942872654","9","2007","4/5/2014 12:00:00 AM"
"101","ColonialVoice","77771155924577","12","2006","6/29/2012 12:00:00 AM"
"102","ColonialVoice","77777905530572","12","2008","12/5/2013 12:00:00 AM"
"103","Vista","11113359002897","10","2007","6/21/2011 12:00:00 AM"
"104","ColonialVoice","77772996189531","11","2005","7/12/2013 12:00:00 AM"
"105","Distinguish","55558305945748","4","2008","1/7/2014 12:00:00 AM"
"106","SuperiorCard","33331614606503","10","2008","6/30/2013 12:00:00 AM"
"107","ColonialVoice","77771467512075","12","2006","6/18/2014 12:00:00 AM"
"108","Vista","11114226806511","4","2006","5/23/2014 12:00:00 AM"
"109","Vista","11115965551854","8","2007","5/31/2014 12:00:00 AM"
"110","Distinguish","55556494862795","12","2006","8/7/2013 12:00:00 AM"
"111","SuperiorCard","33339067552676","4","2006","11/14/2013 12:00:00 AM"
"112","Vista","11118290057240","3","2007","5/12/2014 12:00:00 AM"
"113","Vista","11117863519103","2","2005","7/21/2012 12:00:00 AM"
"114","SuperiorCard","33338624829973","8","2006","8/18/2013 12:00:00 AM"
"115","Distinguish","55557331288433","1","2005","8/28/2013 12:00:00 AM"
"116","Distinguish","55551539904121","5","2006","2/28/2014 12:00:00 AM"
"117","ColonialVoice","77778258299726","8","2005","11/30/2013 12:00:00 AM"
"118","Distinguish","55551810976353","10","2007","9/2/2013 12:00:00 AM"
"119","Distinguish","55551090366683","1","2006","2/6/2009 12:00:00 AM"
"120","Distinguish","55554797685048","1","2006","5/27/2013 12:00:00 AM"
"121","Distinguish","55556497893044","8","2005","5/5/2014 12:00:00 AM"
"122","ColonialVoice","77775805844194","9","2007","6/11/2014 12:00:00 AM"
"123","Distinguish","55552551439953","8","2007","9/2/2013 12:00:00 AM"
"124","ColonialVoice","77772054172195","12","2007","9/19/2013 12:00:00 AM"
"125","ColonialVoice","77774261153866","6","2006","5/1/2014 12:00:00 AM"
"126","SuperiorCard","33335620908839","11","2005","7/31/2013 12:00:00 AM"
"127","ColonialVoice","77778668677894","4","2008","9/12/2012 12:00:00 AM"
"128","Distinguish","55554615582353","8","2006","5/25/2014 12:00:00 AM"
"129","Distinguish","55555625235288","12","2005","10/17/2013 12:00:00 AM"
"130","Vista","11117013974027","7","2005","8/6/2013 12:00:00 AM"
"131","SuperiorCard","33333327723729","6","2008","2/25/2012 12:00:00 AM"
"132","SuperiorCard","33332924248632","1","2008","6/1/2014 12:00:00 AM"
"133","Distinguish","55551500034619","8","2006","7/29/2013 12:00:00 AM"
"134","ColonialVoice","77779074972626","8","2006","1/3/2014 12:00:00 AM"
"135","ColonialVoice","77773476995492","4","2006","3/4/2014 12:00:00 AM"
"136","Distinguish","55553177744050","9","2008","2/5/2013 12:00:00 AM"
"137","Distinguish","55558265626436","12","2006","4/30/2013 12:00:00 AM"
"138","Distinguish","55553993498931","7","2005","9/28/2013 12:00:00 AM"
"139","SuperiorCard","33333046058215","6","2007","11/3/2013 12:00:00 AM"
"140","SuperiorCard","33332539446148","1","2005","6/23/2013 12:00:00 AM"
"141","Distinguish","55553385255792","8","2007","8/17/2013 12:00:00 AM"
"142","Distinguish","55554148938512","6","2006","4/8/2014 12:00:00 AM"
"143","SuperiorCard","33338956772123","5","2005","11/3/2012 12:00:00 AM"
"144","Distinguish","55552263625446","3","2007","1/18/2014 12:00:00 AM"
"145","ColonialVoice","77771579806358","1","2007","10/27/2013 12:00:00 AM"
"146","SuperiorCard","33331510913646","1","2006","1/18/2014 12:00:00 AM"
"147","SuperiorCard","33335009967295","1","2007","10/3/2013 12:00:00 AM"
"148","SuperiorCard","33336376132542","8","2006","2/16/2013 12:00:00 AM"
"149","ColonialVoice","77777697898447","11","2006","8/7/2012 12:00:00 AM"
"150","Vista","11113974751980","12","2006","6/29/2013 12:00:00 AM"
"151","SuperiorCard","33331897508563","12","2007","4/21/2012 12:00:00 AM"
"152","SuperiorCard","33332580697839","10","2005","7/12/2013 12:00:00 AM"
"153","Vista","11117820763787","1","2005","8/18/2013 12:00:00 AM"
"154","ColonialVoice","77774677693254","8","2008","9/16/2013 12:00:00 AM"
"155","ColonialVoice","77777310997414","3","2006","11/6/2013 12:00:00 AM"
"156","Vista","11117316308667","4","2007","12/19/2011 12:00:00 AM"
"157","Vista","11112727657519","6","2005","9/20/2011 12:00:00 AM"
"158","SuperiorCard","33338418715127","6","2006","5/9/2014 12:00:00 AM"
"159","SuperiorCard","33332180625781","1","2008","11/26/2012 12:00:00 AM"
"160","Vista","11117586821468","12","2007","3/11/2014 12:00:00 AM"
"161","Vista","11113066996675","3","2005","7/1/2011 12:00:00 AM"
"162","SuperiorCard","33338226131303","8","2008","3/31/2014 12:00:00 AM"
"163","Vista","11115931141608","12","2006","1/29/2014 12:00:00 AM"
"164","ColonialVoice","77773467064957","5","2005","5/25/2014 12:00:00 AM"
"165","ColonialVoice","77772090003580","2","2007","10/7/2013 12:00:00 AM"
"166","Vista","11117354769916","9","2006","10/11/2013 12:00:00 AM"
"167","SuperiorCard","33335313248723","11","2005","3/31/2014 12:00:00 AM"
"168","SuperiorCard","33331366432094","1","2007","5/1/2012 12:00:00 AM"
"169","Distinguish","55555490126754","10","2008","6/14/2012 12:00:00 AM"
"170","ColonialVoice","77775004062798","6","2006","3/10/2012 12:00:00 AM"
"171","Distinguish","55554843263520","8","2005","9/5/2013 12:00:00 AM"
"172","SuperiorCard","33338669078698","11","2008","8/24/2012 12:00:00 AM"
"173","SuperiorCard","33331831813839","10","2007","10/15/2012 12:00:00 AM"
"174","ColonialVoice","77772993284666","7","2006","1/12/2014 12:00:00 AM"
"175","ColonialVoice","77779842480754","1","2006","7/20/2012 12:00:00 AM"
"176","SuperiorCard","33337664613331","10","2007","11/27/2013 12:00:00 AM"
"177","Vista","11114493005589","9","2005","9/9/2012 12:00:00 AM"
"178","Vista","11115247168390","6","2008","3/7/2013 12:00:00 AM"
"179","SuperiorCard","33332143726640","3","2007","8/19/2013 12:00:00 AM"
"180","Distinguish","55554119155738","12","2008","5/30/2012 12:00:00 AM"
"181","ColonialVoice","77773813992363","12","2007","7/1/2011 12:00:00 AM"
"182","Distinguish","55557755502133","3","2008","3/24/2013 12:00:00 AM"
"183","Vista","11112359824733","3","2005","1/1/2014 12:00:00 AM"
"184","SuperiorCard","33333348568848","10","2007","11/3/2013 12:00:00 AM"
"185","Distinguish","55559237831556","3","2008","3/4/2014 12:00:00 AM"
"186","Vista","11118301852338","10","2007","11/4/2013 12:00:00 AM"
"187","Vista","11115020407589","2","2007","3/1/2014 12:00:00 AM"
"188","ColonialVoice","77777688940363","12","2005","9/13/2013 12:00:00 AM"
"189","SuperiorCard","33338902011178","1","2008","4/25/2014 12:00:00 AM"
"190","Distinguish","55557767763037","7","2006","1/17/2014 12:00:00 AM"
"191","SuperiorCard","33338434402110","7","2005","12/20/2013 12:00:00 AM"
"192","SuperiorCard","33335647678654","6","2007","11/23/2013 12:00:00 AM"
"193","Vista","11115472069769","12","2005","4/30/2013 12:00:00 AM"
"194","ColonialVoice","77774510580754","8","2008","6/30/2012 12:00:00 AM"
"195","Distinguish","55551871947166","9","2005","8/28/2012 12:00:00 AM"
"196","Vista","11117010076386","7","2005","5/22/2014 12:00:00 AM"
"197","Distinguish","55556931298047","5","2006","4/18/2012 12:00:00 AM"
"198","SuperiorCard","33335007569167","7","2007","1/23/2014 12:00:00 AM"
"199","SuperiorCard","33335500655096","5","2007","11/10/2013 12:00:00 AM"
"200","Distinguish","55557032858138","4","2008","4/28/2014 12:00:00 AM"
"201","ColonialVoice","77779670323108","5","2005","6/14/2014 12:00:00 AM"
"202","SuperiorCard","33338461708438","12","2007","10/16/2013 12:00:00 AM"
"203","Vista","11111448471115","11","2007","3/1/2014 12:00:00 AM"
"204","Distinguish","55556333798473","4","2005","7/1/2011 12:00:00 AM"
"205","Distinguish","55556779365170","4","2008","8/15/2012 12:00:00 AM"
"206","Vista","11116739347695","7","2006","10/30/2013 12:00:00 AM"
"207","Distinguish","55553665516951","1","2008","8/6/2013 12:00:00 AM"
"208","Distinguish","55551100991160","11","2007","4/12/2012 12:00:00 AM"
"209","Vista","11115652257330","11","2005","6/11/2014 12:00:00 AM"
"210","SuperiorCard","33331045083655","7","2006","10/3/2013 12:00:00 AM"
"211","SuperiorCard","33338100993388","6","2006","10/18/2013 12:00:00 AM"
"212","SuperiorCard","33334516281208","7","2008","3/14/2014 12:00:00 AM"
"213","SuperiorCard","33335468433685","9","2008","12/30/2011 12:00:00 AM"
"214","SuperiorCard","33334836418984","4","2008","9/19/2013 12:00:00 AM"
"215","Vista","11112748708059","3","2008","11/18/2011 12:00:00 AM"
"216","Distinguish","55559713551424","7","2005","11/5/2011 12:00:00 AM"
"217","SuperiorCard","33337773356896","10","2005","8/4/2012 12:00:00 AM"
"218","Vista","11116900410151","12","2007","2/25/2014 12:00:00 AM"
"219","SuperiorCard","33333000525927","2","2006","1/7/2014 12:00:00 AM"
"220","Distinguish","55556544254316","12","2005","1/15/2009 12:00:00 AM"
"221","Vista","11113174835553","10","2007","2/24/2014 12:00:00 AM"
"222","ColonialVoice","77777095305642","3","2007","8/14/2013 12:00:00 AM"
"223","SuperiorCard","33334363859950","8","2007","10/12/2011 12:00:00 AM"
"224","Vista","11111290138301","5","2006","4/27/2013 12:00:00 AM"
"225","Vista","11111419890999","10","2005","2/10/2012 12:00:00 AM"
"226","SuperiorCard","33332281809376","4","2006","11/8/2013 12:00:00 AM"
"227","Vista","11113025574459","10","2007","6/30/2013 12:00:00 AM"
"228","Vista","11117706542802","7","2007","4/14/2014 12:00:00 AM"
"229","SuperiorCard","33331049139565","9","2008","6/29/2014 12:00:00 AM"
"230","Distinguish","55552612523111","7","2008","7/31/2013 12:00:00 AM"
"231","Vista","11119558626152","11","2008","2/3/2012 12:00:00 AM"
"232","Vista","11114626054731","10","2007","5/21/2014 12:00:00 AM"
"233","ColonialVoice","77778363584843","1","2007","5/7/2014 12:00:00 AM"
"234","ColonialVoice","77775702340665","3","2005","9/29/2013 12:00:00 AM"
"235","ColonialVoice","77774153486314","2","2006","5/4/2014 12:00:00 AM"
"236","ColonialVoice","77772024781018","12","2005","7/27/2013 12:00:00 AM"
"237","SuperiorCard","33334524652098","4","2006","3/31/2014 12:00:00 AM"
"238","ColonialVoice","77771764342795","12","2005","9/25/2013 12:00:00 AM"
"239","Distinguish","55556382031773","10","2006","5/23/2013 12:00:00 AM"
"240","Distinguish","55553353112217","5","2008","11/21/2013 12:00:00 AM"
"241","ColonialVoice","77776406923553","5","2005","6/16/2014 12:00:00 AM"
"242","SuperiorCard","33337414425957","10","2005","5/31/2011 12:00:00 AM"
"243","Distinguish","55554566989903","3","2007","2/23/2014 12:00:00 AM"
"244","SuperiorCard","33332518757403","7","2005","2/5/2014 12:00:00 AM"
"245","ColonialVoice","77776250555783","8","2008","9/27/2013 12:00:00 AM"
"246","SuperiorCard","33331574523505","3","2005","8/12/2011 12:00:00 AM"
"247","SuperiorCard","33334358455811","10","2005","1/17/2014 12:00:00 AM"
"248","Vista","11118545580995","9","2007","4/11/2014 12:00:00 AM"
"249","SuperiorCard","33333022881251","9","2006","10/14/2013 12:00:00 AM"
"250","ColonialVoice","77773099238780","2","2008","10/20/2013 12:00:00 AM"
"251","SuperiorCard","33337187139676","3","2008","1/20/2012 12:00:00 AM"
"252","SuperiorCard","33337077455871","8","2006","12/15/2013 12:00:00 AM"
"253","SuperiorCard","33331912505385","10","2005","4/29/2013 12:00:00 AM"
"254","Distinguish","55554276734483","11","2007","3/17/2014 12:00:00 AM"
"255","SuperiorCard","33333122092398","6","2006","4/6/2014 12:00:00 AM"
"256","Vista","11111578243413","12","2008","5/16/2014 12:00:00 AM"
"257","Vista","11112463732121","10","2006","10/10/2013 12:00:00 AM"
"258","ColonialVoice","77776185540781","6","2008","1/5/2013 12:00:00 AM"
"259","SuperiorCard","33338971372491","4","2008","12/6/2013 12:00:00 AM"
"260","SuperiorCard","33331806839744","7","2008","2/23/2009 12:00:00 AM"
"261","ColonialVoice","77773186672230","12","2008","10/8/2011 12:00:00 AM"
"262","SuperiorCard","33339710777722","4","2005","5/28/2014 12:00:00 AM"
"263","SuperiorCard","33333857621376","12","2006","8/8/2012 12:00:00 AM"
"264","Distinguish","55557055583187","6","2007","12/18/2013 12:00:00 AM"
"265","Distinguish","55552836814693","4","2007","10/4/2013 12:00:00 AM"
"266","ColonialVoice","77775631592757","1","2007","6/14/2012 12:00:00 AM"
"267","SuperiorCard","33331311168762","11","2005","5/31/2011 12:00:00 AM"
"268","SuperiorCard","33332211768137","2","2006","9/16/2011 12:00:00 AM"
"269","SuperiorCard","33337121705928","8","2007","7/4/2011 12:00:00 AM"
"270","SuperiorCard","33338784038789","7","2008","8/1/2012 12:00:00 AM"
"271","ColonialVoice","77772097663028","9","2006","7/2/2013 12:00:00 AM"
"272","SuperiorCard","33336884975462","8","2005","3/1/2014 12:00:00 AM"
"273","ColonialVoice","77774350037576","11","2006","3/3/2014 12:00:00 AM"
"274","Distinguish","55553286107663","9","2008","1/19/2013 12:00:00 AM"
"275","Distinguish","55555327654649","5","2008","3/13/2014 12:00:00 AM"
"276","SuperiorCard","33336128462841","12","2007","11/21/2013 12:00:00 AM"
"277","ColonialVoice","77779052030234","5","2005","8/26/2013 12:00:00 AM"
"278","Distinguish","55558803622808","9","2008","1/16/2014 12:00:00 AM"
"279","Vista","11116531194989","5","2006","11/26/2013 12:00:00 AM"
"280","Vista","11119478266157","6","2006","12/7/2013 12:00:00 AM"
"281","Distinguish","55551340489507","5","2006","1/20/2012 12:00:00 AM"
"282","ColonialVoice","77776406538214","12","2006","9/14/2013 12:00:00 AM"
"283","SuperiorCard","33339429165111","9","2005","1/28/2014 12:00:00 AM"
"284","SuperiorCard","33333582192961","4","2005","1/11/2014 12:00:00 AM"
"285","Distinguish","55553915166444","6","2008","8/14/2013 12:00:00 AM"
"286","ColonialVoice","77773615831491","8","2007","6/22/2013 12:00:00 AM"
"287","ColonialVoice","77774957386427","12","2006","2/13/2012 12:00:00 AM"
"288","SuperiorCard","33333339429635","6","2007","12/16/2013 12:00:00 AM"
"289","Distinguish","55558798543734","6","2008","8/19/2013 12:00:00 AM"
"290","SuperiorCard","33338430651749","7","2006","9/5/2013 12:00:00 AM"
"291","Distinguish","55556726374092","7","2007","5/11/2012 12:00:00 AM"
"292","Vista","11115248640937","5","2005","11/8/2012 12:00:00 AM"
"293","Vista","11111949366286","1","2007","2/16/2014 12:00:00 AM"
"294","Vista","11111418735493","3","2005","12/15/2013 12:00:00 AM"
"295","SuperiorCard","33335549151443","9","2007","2/20/2014 12:00:00 AM"
"296","SuperiorCard","33333589610564","10","2008","10/16/2013 12:00:00 AM"
"297","SuperiorCard","33333361325378","11","2005","7/11/2013 12:00:00 AM"
"298","ColonialVoice","77776298632346","10","2008","10/20/2013 12:00:00 AM"
"299","Distinguish","55551842980137","4","2006","8/1/2011 12:00:00 AM"
"300","Vista","11118661036033","5","2007","10/31/2013 12:00:00 AM"
"301","Distinguish","55558471257051","12","2006","4/7/2014 12:00:00 AM"
"302","SuperiorCard","33335006452683","4","2006","5/2/2013 12:00:00 AM"
"303","Vista","11119770104261","9","2005","9/3/2013 12:00:00 AM"
"304","ColonialVoice","77775921255907","4","2008","10/10/2013 12:00:00 AM"
"305","Distinguish","55552297689520","7","2005","6/22/2014 12:00:00 AM"
"306","Vista","11114534921033","8","2007","9/26/2013 12:00:00 AM"
"307","SuperiorCard","33331161840943","1","2006","5/6/2014 12:00:00 AM"
"308","SuperiorCard","33331460725625","6","2007","12/6/2013 12:00:00 AM"
"309","Vista","11117945717058","3","2007","3/23/2014 12:00:00 AM"
"310","Distinguish","55554029756638","11","2006","8/8/2011 12:00:00 AM"
"311","SuperiorCard","33335435900165","11","2006","8/16/2013 12:00:00 AM"
"312","SuperiorCard","33333463470760","3","2008","6/8/2014 12:00:00 AM"
"313","Distinguish","55558016579760","7","2007","10/28/2013 12:00:00 AM"
"314","ColonialVoice","77777527755354","1","2007","4/6/2014 12:00:00 AM"
"315","ColonialVoice","77772840648082","10","2008","5/7/2012 12:00:00 AM"
"316","ColonialVoice","77777479245209","12","2006","7/8/2013 12:00:00 AM"
"317","ColonialVoice","77775217016118","1","2007","5/27/2014 12:00:00 AM"
"318","SuperiorCard","33333795332504","12","2005","7/4/2012 12:00:00 AM"
"319","SuperiorCard","33333588055875","3","2008","8/1/2011 12:00:00 AM"
"320","Distinguish","55559136297933","9","2005","7/16/2013 12:00:00 AM"
"321","Vista","11115874925443","7","2005","9/29/2012 12:00:00 AM"
"322","Vista","11111465897576","12","2006","5/1/2014 12:00:00 AM"
"323","Distinguish","55556491880971","2","2007","8/18/2013 12:00:00 AM"
"324","SuperiorCard","33336623042951","2","2005","2/3/2009 12:00:00 AM"
"325","Vista","11113130199296","12","2007","4/13/2013 12:00:00 AM"
"326","Distinguish","55559209385215","7","2008","6/25/2014 12:00:00 AM"
"327","Distinguish","55552963103062","7","2008","5/7/2012 12:00:00 AM"
"328","SuperiorCard","33337184417741","10","2006","3/1/2014 12:00:00 AM"
"329","SuperiorCard","33333601842727","8","2008","4/23/2012 12:00:00 AM"
"330","Distinguish","55559400224010","2","2007","5/4/2013 12:00:00 AM"
"331","Distinguish","55558186928969","11","2006","11/3/2013 12:00:00 AM"
"332","SuperiorCard","33335351251421","6","2006","3/16/2012 12:00:00 AM"
"333","Distinguish","55559281360112","5","2005","6/7/2012 12:00:00 AM"
"334","Distinguish","55558268660616","6","2005","3/23/2014 12:00:00 AM"
"335","Distinguish","55551133073710","2","2005","8/4/2013 12:00:00 AM"
"336","SuperiorCard","33332970292118","7","2008","6/30/2012 12:00:00 AM"
"337","Vista","11114703000162","5","2007","3/6/2013 12:00:00 AM"
"338","ColonialVoice","77777663342481","9","2008","5/5/2014 12:00:00 AM"
"339","Distinguish","55559475880011","12","2008","3/31/2014 12:00:00 AM"
"340","Distinguish","55555375872116","10","2006","8/4/2013 12:00:00 AM"
"341","Vista","11114437847221","3","2005","12/11/2012 12:00:00 AM"
"342","ColonialVoice","77776266152345","1","2006","12/23/2013 12:00:00 AM"
"343","Vista","11115701454851","7","2008","12/3/2013 12:00:00 AM"
"344","Vista","11119674361490","9","2006","10/10/2013 12:00:00 AM"
"345","Vista","11118110021923","6","2008","10/10/2013 12:00:00 AM"
"346","SuperiorCard","33335534675723","3","2008","12/24/2013 12:00:00 AM"
"347","SuperiorCard","33337539270232","9","2005","9/8/2013 12:00:00 AM"
"348","Distinguish","55551813343426","11","2008","9/8/2013 12:00:00 AM"
"349","ColonialVoice","77772412583693","9","2007","12/1/2012 12:00:00 AM"
"350","ColonialVoice","77774617407824","5","2007","7/17/2013 12:00:00 AM"
"351","ColonialVoice","77776250422618","12","2007","10/19/2012 12:00:00 AM"
"352","Vista","11111038492177","5","2005","9/23/2012 12:00:00 AM"
"353","Vista","11113953531031","11","2008","12/31/2013 12:00:00 AM"
"354","SuperiorCard","33337208763627","6","2007","12/3/2013 12:00:00 AM"
"355","SuperiorCard","33336233008911","9","2008","6/30/2013 12:00:00 AM"
"356","Vista","11114068402158","10","2008","6/27/2013 12:00:00 AM"
"357","SuperiorCard","33339094840927","1","2008","2/12/2014 12:00:00 AM"
"358","SuperiorCard","33336454753250","11","2006","5/27/2012 12:00:00 AM"
"359","ColonialVoice","77776472904565","10","2008","9/14/2012 12:00:00 AM"
"360","ColonialVoice","77772894126334","7","2005","3/21/2014 12:00:00 AM"
"361","SuperiorCard","33333660692169","4","2007","1/21/2014 12:00:00 AM"
"362","Distinguish","55553141509249","3","2007","6/5/2014 12:00:00 AM"
"363","ColonialVoice","77775139403469","8","2006","4/4/2014 12:00:00 AM"
"364","Distinguish","55558521977541","9","2007","4/9/2014 12:00:00 AM"
"365","Vista","11113304959304","8","2005","8/12/2013 12:00:00 AM"
"366","Distinguish","55551373386979","6","2007","3/25/2014 12:00:00 AM"
"367","ColonialVoice","77771658774976","10","2006","8/5/2012 12:00:00 AM"
"368","SuperiorCard","33337996194943","8","2008","11/17/2013 12:00:00 AM"
"369","Distinguish","55558962653402","7","2008","10/4/2012 12:00:00 AM"
"370","Distinguish","55552920607882","10","2007","3/30/2012 12:00:00 AM"
